所屬店家,飲料名稱,描述,奶類,小杯,小杯價格,中杯,中杯價格,大杯,大杯價格,茶類,配料,飲料名稱
迷客夏臺北師大店,靜岡焙茶拿鐵,,鮮奶,無,,有,60,有,70,綠茶,無,靜岡焙茶拿鐵
迷客夏臺北師大店,伯爵紅茶拿鐵,,鮮奶,無,,有,50,有,60,紅茶,無,伯爵紅茶拿鐵
迷客夏臺北師大店,大正紅茶拿鐵,,鮮奶,無,,有,50,有,60,紅茶,無,大正紅茶拿鐵
迷客夏臺北師大店,娜杯紅茶拿鐵,,鮮奶,無,,有,50,有,60,紅茶,無,娜杯紅茶拿鐵
迷客夏臺北師大店,琥珀烏龍拿鐵,,鮮奶,無,,有,50,有,60,烏龍茶,無,琥珀烏龍拿鐵
迷客夏臺北師大店,茉香綠茶拿鐵,,鮮奶,無,,有,50,有,60,綠茶,無,茉香綠茶拿鐵
迷客夏臺北師大店,焙香大麥拿鐵,,鮮奶,無,,有,50,有,60,麥茶,無,焙香大麥拿鐵
迷客夏臺北師大店,布朗紅茶拿鐵,,鮮奶,無,,有,60,有,70,紅茶,無,布朗紅茶拿鐵
迷客夏臺北師大店,伯爵可可拿鐵,,鮮奶,無,,有,60,有,70,紅茶,無,伯爵可可拿鐵
迷客夏臺北師大店,珍珠紅茶拿鐵,,鮮奶,無,,有,60,有,70,紅茶,有,珍珠紅茶拿鐵
珍煮丹 中正南門店,煮母奶茶,,,無,,有,40,有,55,紅茶,無,煮母奶茶
珍煮丹 中正南門店,珍珠奶茶,,,無,,有,45,有,60,紅茶,有,珍珠奶茶
珍煮丹 中正南門店,泰泰鮮奶茶,,鮮奶,無,,有,55,有,75,紅茶,無,泰泰鮮奶茶
珍煮丹 中正南門店,姍姍紅茶拿鐵,,鮮奶,無,,有,50,有,65,紅茶,無,姍姍紅茶拿鐵
珍煮丹 中正南門店,琥珀烏龍拿鐵,,鮮奶,無,,有,50,有,65,烏龍茶,無,琥珀烏龍拿鐵
珍煮丹 中正南門店,十份芋芋鮮奶,,鮮奶,無,,有,70,有,85,其他,有,十份芋芋鮮奶
珍煮丹 中正南門店,芋珍雙Q奶茶,,,無,,有,55,有,70,紅茶,有,芋珍雙Q奶茶
珍煮丹 中正南門店,波波粿粿鮮奶茶,,鮮奶,無,,有,65,有,75,紅茶,有,波波粿粿鮮奶茶
天仁茗茶 永康店,珍珠奶茶,,奶精,無,,有,50,有,60,紅茶,有,珍珠奶茶
天仁茗茶 永康店,珍珠奶綠,,奶精,無,,有,50,有,60,綠茶,有,珍珠奶綠
天仁茗茶 永康店,茉香奶綠,,奶精,無,,有,50,有,60,綠茶,無,茉香奶綠
天仁茗茶 永康店,金香奶茶,,奶精,無,,有,50,有,60,紅茶,無,金香奶茶
天仁茗茶 永康店,四季烏龍奶茶,,奶精,無,,有,60,有,70,烏龍茶,無,四季烏龍奶茶
天仁茗茶 永康店,913奶茶,,奶精,無,,有,70,有,80,紅茶,無,913奶茶
天仁茗茶 永康店,普洱奶茶,,奶精,無,,有,70,有,80,紅茶,無,普洱奶茶
天仁茗茶 永康店,炟客奶茶,,奶精,無,,有,70,有,80,紅茶,無,炟客奶茶
天仁茗茶 永康店,香芋奶綠,,奶精,無,,有,70,有,90,綠茶,有,香芋奶綠
天仁茗茶 永康店,抹茶冰淇淋奶綠,,奶精,無,,有,90,無,,綠茶,有,抹茶冰淇淋奶綠
天仁茗茶 永康店,珍珠鮮奶茶,,鮮奶,無,,有,70,有,90,紅茶,有,珍珠鮮奶茶
天仁茗茶 永康店,珍珠鮮奶綠,,鮮奶,無,,有,70,有,90,綠茶,有,珍珠鮮奶綠
天仁茗茶 永康店,鮮奶茶,,鮮奶,無,,有,70,有,90,紅茶,無,鮮奶茶
天仁茗茶 永康店,鮮奶綠,,鮮奶,無,,有,70,有,90,綠茶,無,鮮奶綠
天仁茗茶 永康店,黑鑽鮮奶茶,,鮮奶,無,,有,75,有,95,紅茶,無,黑鑽鮮奶茶
天仁茗茶 永康店,四季烏龍鮮奶茶,,鮮奶,無,,有,80,有,100,烏龍茶,無,四季烏龍鮮奶茶
天仁茗茶 永康店,913鮮奶茶,,鮮奶,無,,有,90,有,110,紅茶,無,913鮮奶茶
天仁茗茶 永康店,香芋鮮奶綠,,鮮奶,無,,有,90,有,110,綠茶,有,香芋鮮奶綠
天仁茗茶 永康店,普洱拿鐵,,鮮奶,無,,有,90,有,110,紅茶,無,普洱拿鐵
天仁茗茶 永康店,炟客拿鐵,,鮮奶,無,,有,90,有,110,紅茶,無,炟客拿鐵
進發家 東門永康店,進發厚奶茶,,,無,,有,50,有,60,紅茶,無,進發厚奶茶
進發家 東門永康店,紅茶鮮奶,,鮮奶,無,,有,50,有,60,紅茶,無,紅茶鮮奶
進發家 東門永康店,綠茶鮮奶,,鮮奶,無,,有,50,有,60,綠茶,無,綠茶鮮奶
進發家 東門永康店,烏龍鮮奶,,鮮奶,無,,有,50,有,60,烏龍茶,無,烏龍鮮奶
進發家 東門永康店,招牌奶茶,,奶精,無,,有,45,有,55,紅茶,無,招牌奶茶
進發家 東門永康店,招牌奶綠,,奶精,無,,有,45,有,55,綠茶,無,招牌奶綠
進發家 東門永康店,招牌奶烏,,奶精,無,,有,45,有,55,烏龍茶,無,招牌奶烏
進發家 東門永康店,珍珠奶茶,,奶精,無,,有,50,有,60,紅茶,有,珍珠奶茶
進發家 東門永康店,仙草奶茶,,奶精,無,,有,50,有,60,紅茶,有,仙草奶茶
進發家 東門永康店,烏龍鮮奶桂花凍,,鮮奶,無,,有,60,有,70,烏龍茶,有,烏龍鮮奶桂花凍
進發家 東門永康店,黑糖薑母奶茶,冬天限定,,無,,有,60,無,,紅茶,無,黑糖薑母奶茶
青山-青茶專業製作 台北永康店,菜燕奶茶,,奶精,無,,有,55,有,60,紅茶,有,菜燕奶茶
青山-青茶專業製作 台北永康店,青茶婚貴奶茶,,奶精,無,,有,55,有,60,青茶,有,青茶婚貴奶茶
青山-青茶專業製作 台北永康店,琥珀珍珠奶茶,,奶精,無,,有,55,有,60,紅茶,有,琥珀珍珠奶茶
青山-青茶專業製作 台北永康店,蕎麥珍珠奶茶,,奶精,無,,有,60,有,65,紅茶,有,蕎麥珍珠奶茶
青山-青茶專業製作 台北永康店,青茶凍天蟬那堤,,鮮奶,無,,有,65,有,75,紅茶,有,青茶凍天蟬那堤
青山-青茶專業製作 台北永康店,琥珀珍珠天蟬那堤,,鮮奶,無,,有,65,有,75,紅茶,有,琥珀珍珠天蟬那堤
青山-青茶專業製作 台北永康店,蕎麥珍珠夏青那堤,,鮮奶,無,,有,65,有,75,其他,有,蕎麥珍珠夏青那堤
青山-青茶專業製作 台北永康店,山峰奶茶,,奶精,無,,有,45,有,50,紅茶,無,山峰奶茶
青山-青茶專業製作 台北永康店,夏青那堤,,鮮奶,無,,有,50,有,60,其他,無,夏青那堤
青山-青茶專業製作 台北永康店,蕎麥那堤,,鮮奶,無,,有,50,有,65,麥茶,無,蕎麥那堤
青山-青茶專業製作 台北永康店,天蟬那堤,,鮮奶,無,,有,55,有,65,紅茶,無,天蟬那堤
得正#台北古亭計劃,奶茶,,奶精,無,,有,40,有,45,紅茶,無,奶茶
得正#台北古亭計劃,焙烏龍奶茶,,奶精,無,,有,40,有,45,烏龍茶,無,焙烏龍奶茶
得正#台北古亭計劃,珍珠奶茶,,奶精,無,,有,50,有,55,紅茶,有,珍珠奶茶
得正#台北古亭計劃,黃金珍珠奶綠,,奶精,無,,有,55,有,60,綠茶,有,黃金珍珠奶綠
得正#台北古亭計劃,烘吉奶綠,,奶精,無,,有,50,無,,綠茶,無,烘吉奶綠
得正#台北古亭計劃,紅茶鮮奶,,鮮奶,無,,有,50,有,60,紅茶,無,紅茶鮮奶
得正#台北古亭計劃,輕烏龍鮮奶,,鮮奶,無,,有,50,有,60,烏龍茶,無,輕烏龍鮮奶
得正#台北古亭計劃,焙烏龍鮮奶,,鮮奶,無,,有,50,有,60,烏龍茶,無,焙烏龍鮮奶
得正#台北古亭計劃,烘吉鮮奶,,鮮奶,無,,有,70,無,,紅茶,無,烘吉鮮奶
清心福全師大店-珍珠奶茶手搖飲料專賣店,茶凍奶綠,,奶精,無,,無,,有,60,綠茶,有,茶凍奶綠
清心福全師大店-珍珠奶茶手搖飲料專賣店,珍珠奶茶,,奶精,無,,有,50,有,60,紅茶,有,珍珠奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,粉圓奶茶,,奶精,無,,有,50,有,60,紅茶,有,粉圓奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,錫蘭奶紅,,奶精,無,,有,50,有,60,紅茶,無,錫蘭奶紅
清心福全師大店-珍珠奶茶手搖飲料專賣店,烏龍奶茶,,奶精,無,,有,50,有,60,烏龍茶,無,烏龍奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,特級奶綠,,奶精,無,,有,50,有,60,綠茶,無,特級奶綠
清心福全師大店-珍珠奶茶手搖飲料專賣店,仙草凍奶茶,,奶精,無,,有,50,有,60,紅茶,有,仙草凍奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,椰果奶茶,,奶精,無,,有,50,有,60,紅茶,有,椰果奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,布丁奶茶,,奶精,無,,有,50,有,60,紅茶,有,布丁奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,咖啡凍奶茶,,奶精,無,,有,50,有,60,紅茶,有,咖啡凍奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,蜂蜜奶茶,,奶精,無,,有,50,有,65,紅茶,無,蜂蜜奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,芝麻奶茶,,奶精,無,,無,,有,70,紅茶,有,芝麻奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,琥珀黑糖奶茶,,奶精,無,,有,50,有,60,紅茶,無,琥珀黑糖奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,咖啡奶茶,,奶精,無,,有,50,有,65,紅茶,無,咖啡奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,冰淇淋奶茶,,奶精,無,,有,50,有,60,紅茶,有,冰淇淋奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,粉戀莓莓,,鮮奶,無,,無,,有,85,其他,有,粉戀莓莓
清心福全師大店-珍珠奶茶手搖飲料專賣店,茉綠茶凍拿鐵,,鮮奶,無,,無,,有,70,綠茶,有,茉綠茶凍拿鐵
清心福全師大店-珍珠奶茶手搖飲料專賣店,雙凍拿鐵,,鮮奶,無,,無,,有,75,紅茶,有,雙凍拿鐵
清心福全師大店-珍珠奶茶手搖飲料專賣店,鮮奶茶,,鮮奶,無,,有,55,有,70,紅茶,無,鮮奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,珍珠鮮奶茶,,鮮奶,無,,有,55,有,70,紅茶,有,珍珠鮮奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,粉圓鮮奶茶,,鮮奶,無,,有,55,有,70,紅茶,有,粉圓鮮奶茶
清心福全師大店-珍珠奶茶手搖飲料專賣店,珍珠蜂蜜鮮奶普洱,,鮮奶,無,,有,55,有,75,普洱茶,有,珍珠蜂蜜鮮奶普洱
清心福全師大店-珍珠奶茶手搖飲料專賣店,頂級可可拿鐵,,鮮奶,無,,有,65,有,85,紅茶,無,頂級可可拿鐵
清心福全師大店-珍珠奶茶手搖飲料專賣店,珍珠芝麻拿鐵,,鮮奶,無,,無,,有,75,紅茶,有,珍珠芝麻拿鐵
CoCo都可 金山店,奶茶三兄弟,,奶精,無,,無,,有,65,紅茶,有,奶茶三兄弟
CoCo都可 金山店,阿薩姆奶茶,,奶精,無,,有,40,有,50,紅茶,無,阿薩姆奶茶
CoCo都可 金山店,珍珠奶茶,,奶精,無,,有,50,有,60,紅茶,有,珍珠奶茶
CoCo都可 金山店,粉角奶茶,,奶精,無,,有,50,有,60,紅茶,有,粉角奶茶
CoCo都可 金山店,QQ奶茶,,奶精,無,,有,50,有,60,紅茶,有,QQ奶茶
CoCo都可 金山店,3Q奶茶,,奶精,無,,有,55,有,65,紅茶,有,3Q奶茶
CoCo都可 金山店,冬韻擂焙珍奶,,奶精,無,,無,,有,70,紅茶,有,冬韻擂焙珍奶
CoCo都可 金山店,日焙珍珠奶茶,,奶精,無,,有,55,有,65,紅茶,有,日焙珍珠奶茶
CoCo都可 金山店,英式鮮奶茶,,鮮奶,無,,有,55,有,70,紅茶,無,英式鮮奶茶
CoCo都可 金山店,日焙鮮奶茶,,鮮奶,無,,有,65,有,75,紅茶,無,日焙鮮奶茶
CoCo都可 金山店,珍珠鮮奶茶,,鮮奶,無,,有,65,有,75,紅茶,有,珍珠鮮奶茶
CoCo都可 金山店,QQ鮮奶茶,,鮮奶,無,,有,65,有,75,紅茶,有,QQ鮮奶茶
CoCo都可 金山店,3Q鮮奶茶,,鮮奶,無,,有,65,有,75,紅茶,有,3Q鮮奶茶
CoCo都可 金山店,28茉輕乳茶,,鮮奶,無,,無,,有,60,茉莉花茶,無,28茉輕乳茶
CoCo都可 金山店,28茉粉角輕乳茶,,鮮奶,無,,無,,有,70,茉莉花茶,有,28茉粉角輕乳茶
五桐號WooTea 台北古亭店,濃煮奶茶,,奶精,無,,無,,有,55,紅茶,無,濃煮奶茶
五桐號WooTea 台北古亭店,綠茶凍濃煮奶茶,,奶精,無,,無,,有,60,紅茶,有,綠茶凍濃煮奶茶
五桐號WooTea 台北古亭店,鐵觀音奶茶,,奶精,無,,無,,有,55,鐵觀音,無,鐵觀音奶茶
五桐號WooTea 台北古亭店,最完美手沖泰奶,,奶精,無,,無,,有,79,紅茶,無,最完美手沖泰奶
五桐號WooTea 台北古亭店,珍珠手沖泰奶,,奶精,無,,無,,有,69,紅茶,有,珍珠手沖泰奶
五桐號WooTea 台北古亭店,玄米蕎麥奶茶,,奶精,無,,無,,有,60,麥茶,有,玄米蕎麥奶茶
五桐號WooTea 台北古亭店,茶花烏龍奶茶,,奶精,無,,無,,有,60,烏龍茶,無,茶花烏龍奶茶
五桐號WooTea 台北古亭店,茉莉奶綠,,奶精,無,,無,,有,55,綠茶,無,茉莉奶綠
五桐號WooTea 台北古亭店,珍珠奶茶,,奶精,無,,無,,有,55,紅茶,有,珍珠奶茶
五桐號WooTea 台北古亭店,濃煮拿鐵,,鮮奶,無,,無,,有,60,紅茶,無,濃煮拿鐵
五桐號WooTea 台北古亭店,綠茶凍濃煮拿鐵,,鮮奶,無,,無,,有,65,紅茶,有,綠茶凍濃煮拿鐵
五桐號WooTea 台北古亭店,鐵觀音拿鐵,,鮮奶,無,,無,,有,60,鐵觀音,無,鐵觀音拿鐵
五桐號WooTea 台北古亭店,玄米蕎麥拿鐵,,鮮奶,無,,無,,有,65,麥茶,有,玄米蕎麥拿鐵
五桐號WooTea 台北古亭店,茶花烏龍拿鐵,,鮮奶,無,,無,,有,65,烏龍茶,無,茶花烏龍拿鐵
五桐號WooTea 台北古亭店,茉莉綠茶拿鐵,,鮮奶,無,,無,,有,60,綠茶,無,茉莉綠茶拿鐵
五桐號WooTea 台北古亭店,珍珠濃煮拿鐵,,鮮奶,無,,無,,有,60,紅茶,有,珍珠濃煮拿鐵
三十未央 | 未央茶專門店 | 師大創始店,紅三緋奶茶,,奶精,無,,無,,有,50,紅茶,無,紅三緋奶茶
三十未央 | 未央茶專門店 | 師大創始店,焙盞未央奶茶,,奶精,無,,無,,有,55,紅茶,無,焙盞未央奶茶
三十未央 | 未央茶專門店 | 師大創始店,玉珍珠奶茶,,奶精,無,,無,,有,60,紅茶,有,玉珍珠奶茶
三十未央 | 未央茶專門店 | 師大創始店,椰三寶未央奶茶,,奶精,無,,無,,有,70,紅茶,有,椰三寶未央奶茶
三十未央 | 未央茶專門店 | 師大創始店,翠茉羽凍奶茶,,奶精,無,,無,,有,65,紅茶,有,翠茉羽凍奶茶
三十未央 | 未央茶專門店 | 師大創始店,翡緋牧羽,,鮮奶,無,,無,,有,60,紅茶,無,翡緋牧羽
三十未央 | 未央茶專門店 | 師大創始店,焙盞牧羽,,鮮奶,無,,無,,有,65,紅茶,無,焙盞牧羽
三十未央 | 未央茶專門店 | 師大創始店,椰三寶牧羽,,鮮奶,無,,無,,有,79,紅茶,有,椰三寶牧羽
三十未央 | 未央茶專門店 | 師大創始店,冬露牧羽,,鮮奶,無,,無,,有,55,其他,無,冬露牧羽
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),鶴記紅茶凍奶茶,,奶精,無,,有,55,有,65,紅茶,有,鶴記紅茶凍奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),鶴記鴛鴦凍奶茶,,奶精,無,,有,65,有,70,紅茶,有,鶴記鴛鴦凍奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),泰式奶茶凍奶茶,,奶精,無,,有,70,有,75,紅茶,有,泰式奶茶凍奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),鶴記芝麻糊凍鶴頂那堤,,鮮奶,無,,有,70,有,80,紅茶,有,鶴記芝麻糊凍鶴頂那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),古早味紅茶粉粿奶茶,,奶精,無,,有,55,有,65,紅茶,有,古早味紅茶粉粿奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),復刻奶茶,,奶精,無,,無,,有,55,紅茶,無,復刻奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),泰式奶茶,,奶精,無,,有,55,有,60,紅茶,無,泰式奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),復刻波霸奶茶,,奶精,無,,有,55,有,65,紅茶,有,復刻波霸奶茶
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),鶴頂那堤,,鮮奶,無,,有,55,有,65,紅茶,無,鶴頂那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),舶來那堤,,鮮奶,無,,有,55,有,65,紅茶,無,舶來那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),藝伎那堤,,鮮奶,無,,有,60,有,70,紅茶,無,藝伎那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),綺夢那堤,,鮮奶,無,,有,60,有,70,紅茶,無,綺夢那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),桂香烏龍那堤,,鮮奶,無,,有,60,有,70,烏龍茶,無,桂香烏龍那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),神農氏那堤,,鮮奶,無,,有,60,無,,紅茶,無,神農氏那堤
鶴茶樓- 鶴頂紅茶商店(中正寧波西店),鶴頂紅茶燕麥奶,,鮮奶,無,,有,65,有,80,紅茶,無,鶴頂紅茶燕麥奶
天仁茗茶 信義店,珍珠奶茶,,奶精,無,,有,50,有,60,紅茶,有,珍珠奶茶
天仁茗茶 信義店,珍珠奶綠,,奶精,無,,有,50,有,60,綠茶,有,珍珠奶綠
天仁茗茶 信義店,茉香奶綠,,奶精,無,,有,50,有,60,綠茶,無,茉香奶綠
天仁茗茶 信義店,金香奶茶,,奶精,無,,有,50,有,60,紅茶,無,金香奶茶
天仁茗茶 信義店,四季烏龍奶茶,,奶精,無,,有,60,有,70,烏龍茶,無,四季烏龍奶茶
天仁茗茶 信義店,913奶茶,,奶精,無,,有,70,有,80,紅茶,無,913奶茶
天仁茗茶 信義店,普洱奶茶,,奶精,無,,有,70,有,80,紅茶,無,普洱奶茶
天仁茗茶 信義店,炟客奶茶,,奶精,無,,有,70,有,80,紅茶,無,炟客奶茶
天仁茗茶 信義店,香芋奶綠,,奶精,無,,有,70,有,90,綠茶,有,香芋奶綠
天仁茗茶 信義店,抹茶冰淇淋奶綠,,奶精,無,,有,90,無,,綠茶,有,抹茶冰淇淋奶綠
天仁茗茶 信義店,珍珠鮮奶茶,,鮮奶,無,,有,70,有,90,紅茶,有,珍珠鮮奶茶
天仁茗茶 信義店,珍珠鮮奶綠,,鮮奶,無,,有,70,有,90,綠茶,有,珍珠鮮奶綠
天仁茗茶 信義店,鮮奶茶,,鮮奶,無,,有,70,有,90,紅茶,無,鮮奶茶
天仁茗茶 信義店,鮮奶綠,,鮮奶,無,,有,70,有,90,綠茶,無,鮮奶綠
天仁茗茶 信義店,黑鑽鮮奶茶,,鮮奶,無,,有,75,有,95,紅茶,無,黑鑽鮮奶茶
天仁茗茶 信義店,四季烏龍鮮奶茶,,鮮奶,無,,有,80,有,100,烏龍茶,無,四季烏龍鮮奶茶
天仁茗茶 信義店,913鮮奶茶,,鮮奶,無,,有,90,有,110,紅茶,無,913鮮奶茶
天仁茗茶 信義店,香芋鮮奶綠,,鮮奶,無,,有,90,有,110,綠茶,有,香芋鮮奶綠
天仁茗茶 信義店,普洱拿鐵,,鮮奶,無,,有,90,有,110,紅茶,無,普洱拿鐵
天仁茗茶 信義店,炟客拿鐵,,鮮奶,無,,有,90,有,110,紅茶,無,炟客拿鐵
喫茶趣ToGo 永康店,珍珠奶茶,,奶精,無,,有,50,有,60,紅茶,有,珍珠奶茶
喫茶趣ToGo 永康店,珍珠奶綠,,奶精,無,,有,50,有,60,綠茶,有,珍珠奶綠
喫茶趣ToGo 永康店,茉香奶綠,,奶精,無,,有,50,有,60,綠茶,無,茉香奶綠
喫茶趣ToGo 永康店,金香奶茶,,奶精,無,,有,50,有,60,紅茶,無,金香奶茶
喫茶趣ToGo 永康店,四季烏龍奶茶,,奶精,無,,有,60,有,70,烏龍茶,無,四季烏龍奶茶
喫茶趣ToGo 永康店,913奶茶,,奶精,無,,有,70,有,80,紅茶,無,913奶茶
